STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS,,
TLG,M,65,MON FNF,19251001 0000,19251031 0000,15120,,AF,,
TLG,M,65,MON FNF,19251101 0000,19251130 0000,16210,,AF,,
TLG,M,65,MON FNF,19251201 0000,19251231 0000,32760,,AF,,
TLG,M,65,MON FNF,19260101 0000,19260131 0000,18950,,AF,,
TLG,M,65,MON FNF,19260201 0000,19260228 0000,100580,,AF,,
TLG,M,65,MON FNF,19260301 0000,19260331 0000,127440,,AF,,
TLG,M,65,MON FNF,19260401 0000,19260430 0000,382300,,AF,,
TLG,M,65,MON FNF,19260501 0000,19260531 0000,303780,,AF,,
TLG,M,65,MON FNF,19260601 0000,19260630 0000,89230,,AF,,
TLG,M,65,MON FNF,19260701 0000,19260731 0000,18910,,AF,,
TLG,M,65,MON FNF,19260801 0000,19260831 0000,3250,,AF,,
TLG,M,65,MON FNF,19260901 0000,19260930 0000,1380,,AF,,
TLG,M,65,MON FNF,19261001 0000,19261031 0000,5480,,AF,,
TLG,M,65,MON FNF,19261101 0000,19261130 0000,74080,,AF,,
TLG,M,65,MON FNF,19261201 0000,19261231 0000,60020,,AF,,
TLG,M,65,MON FNF,19270101 0000,19270131 0000,63200,,AF,,
TLG,M,65,MON FNF,19270201 0000,19270228 0000,223130,,AF,,
TLG,M,65,MON FNF,19270301 0000,19270331 0000,159720,,AF,,
TLG,M,65,MON FNF,19270401 0000,19270430 0000,351500,,AF,,
TLG,M,65,MON FNF,19270501 0000,19270531 0000,454090,,AF,,
TLG,M,65,MON FNF,19270601 0000,19270630 0000,476180,,AF,,
TLG,M,65,MON FNF,19270701 0000,19270731 0000,146290,,AF,,
TLG,M,65,MON FNF,19270801 0000,19270831 0000,24590,,AF,,
TLG,M,65,MON FNF,19270901 0000,19270930 0000,13120,,AF,,
TLG,M,65,MON FNF,19271001 0000,19271031 0000,15340,,AF,,
TLG,M,65,MON FNF,19271101 0000,19271130 0000,87010,,AF,,
TLG,M,65,MON FNF,19271201 0000,19271231 0000,44110,,AF,,
TLG,M,65,MON FNF,19280101 0000,19280131 0000,51260,,AF,,
TLG,M,65,MON FNF,19280201 0000,19280229 0000,82210,,AF,,
TLG,M,65,MON FNF,19280301 0000,19280331 0000,343420,,AF,,
TLG,M,65,MON FNF,19280401 0000,19280430 0000,263770,,AF,,
TLG,M,65,MON FNF,19280501 0000,19280531 0000,447770,,AF,,
TLG,M,65,MON FNF,19280601 0000,19280630 0000,152650,,AF,,
TLG,M,65,MON FNF,19280701 0000,19280731 0000,27620,,AF,,
TLG,M,65,MON FNF,19280801 0000,19280831 0000,7300,,AF,,
TLG,M,65,MON FNF,19280901 0000,19280930 0000,2560,,AF,,
TLG,M,65,MON FNF,19281001 0000,19281031 0000,0,,AF,,
TLG,M,65,MON FNF,19281101 0000,19281130 0000,5790,,AF,,
TLG,M,65,MON FNF,19281201 0000,19281231 0000,18120,,AF,,
TLG,M,65,MON FNF,19290101 0000,19290131 0000,19060,,AF,,
TLG,M,65,MON FNF,19290201 0000,19290228 0000,40450,,AF,,
TLG,M,65,MON FNF,19290301 0000,19290331 0000,99400,,AF,,
TLG,M,65,MON FNF,19290401 0000,19290430 0000,148100,,AF,,
TLG,M,65,MON FNF,19290501 0000,19290531 0000,378120,,AF,,
TLG,M,65,MON FNF,19290601 0000,19290630 0000,224690,,AF,,
TLG,M,65,MON FNF,19290701 0000,19290731 0000,40740,,AF,,
TLG,M,65,MON FNF,19290801 0000,19290831 0000,4570,,AF,,
TLG,M,65,MON FNF,19290901 0000,19290930 0000,0,,AF,,
TLG,M,65,MON FNF,19291001 0000,19291031 0000,1860,,AF,,
TLG,M,65,MON FNF,19291101 0000,19291130 0000,1240,,AF,,
TLG,M,65,MON FNF,19291201 0000,19291231 0000,23030,,AF,,
TLG,M,65,MON FNF,19300101 0000,19300131 0000,39030,,AF,,
TLG,M,65,MON FNF,19300201 0000,19300228 0000,70060,,AF,,
TLG,M,65,MON FNF,19300301 0000,19300331 0000,146570,,AF,,
TLG,M,65,MON FNF,19300401 0000,19300430 0000,245920,,AF,,
TLG,M,65,MON FNF,19300501 0000,19300531 0000,274800,,AF,,
TLG,M,65,MON FNF,19300601 0000,19300630 0000,286230,,AF,,
TLG,M,65,MON FNF,19300701 0000,19300731 0000,48840,,AF,,
TLG,M,65,MON FNF,19300801 0000,19300831 0000,9990,,AF,,
TLG,M,65,MON FNF,19300901 0000,19300930 0000,0,,AF,,
TLG,M,65,MON FNF,19301001 0000,19301031 0000,9020,,AF,,
TLG,M,65,MON FNF,19301101 0000,19301130 0000,20370,,AF,,
TLG,M,65,MON FNF,19301201 0000,19301231 0000,10720,,AF,,
TLG,M,65,MON FNF,19310101 0000,19310131 0000,26090,,AF,,
TLG,M,65,MON FNF,19310201 0000,19310228 0000,44490,,AF,,
TLG,M,65,MON FNF,19310301 0000,19310331 0000,66270,,AF,,
TLG,M,65,MON FNF,19310401 0000,19310430 0000,154030,,AF,,
TLG,M,65,MON FNF,19310501 0000,19310531 0000,209320,,AF,,
TLG,M,65,MON FNF,19310601 0000,19310630 0000,49010,,AF,,
TLG,M,65,MON FNF,19310701 0000,19310731 0000,10220,,AF,,
